algorithm,timestamp,python_version,numpy_version,scikit_learn_version,seed,grid_size,k_predict,dataset,s_norm,real_error,baseline_mean,baseline_std,baseline_median,baseline_ci_lower,baseline_ci_upper,ratio,gated,runtime_ms
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,10,1_ideal_coherent,0.8715446568789308,0.3264961423712438,0.517087860974781,0.026442096112679423,0.5157852308996975,0.46470345497129234,0.5655699948368642,0.6314132800482961,0,190.744800001994
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,10,2_phase_noise_0.8,2.319838988350478,1.2558428497934324,1.1460254942352581,0.06438763144442458,1.1499003897647349,1.0130774831054714,1.2428139179187627,1.095824531051515,0,252.04540000049747
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,10,3_thermal_source,2.387848477371563,1.327377823324996,1.2227381618214874,0.074195556088456,1.222586854741276,1.0853145217241138,1.3527333158624917,1.0855781431959473,0,220.27389999857405
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,10,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.35599999682744965
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,10,5_pink_noise,0.658886048220131,0.27907809993347943,0.25751993905462806,0.016596444372357102,0.25684436059471605,0.22938710538092097,0.2901664434163539,1.0837145308359142,0,263.0277999996906
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,10,6_white_noise,2.352376938231725,1.1215492797591882,1.0272675716947712,0.06277851870726439,1.0292118365384337,0.9153408017341705,1.1352101509292603,1.0917791144802442,0,251.4329000005091
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,15,1_ideal_coherent,0.8715446568789308,0.3763793372359239,0.5133320087180783,0.02844989888458777,0.5133689317972345,0.46797951792348175,0.562368160226262,0.7332083930940517,0,504.237799999828
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,15,2_phase_noise_0.8,2.319838988350478,1.2546408699504932,1.1480547207675946,0.06089828375906675,1.1569097039204947,1.0253742099247602,1.2674054629223823,1.0928406523267764,0,305.4207999994105
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,15,3_thermal_source,2.387848477371563,1.3041849572683444,1.2024929652018634,0.06005471242589366,1.19416513480459,1.0839841098736003,1.328409851486942,1.0845676399025002,0,216.0518000018783
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,15,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.2882000007957686
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,15,5_pink_noise,0.658886048220131,0.2719604244986395,0.25958113650295683,0.014584988081976733,0.26069827622604536,0.23030094203969592,0.285694359172944,1.0476894745221275,0,218.54050000183634
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,15,6_white_noise,2.352376938231725,1.114195382648473,1.0260101392054684,0.06532930271905583,1.0223270821675574,0.883992849122382,1.154852076359867,1.0859496802938948,0,200.4071000010299
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,20,1_ideal_coherent,0.8715446568789308,0.4377980558012792,0.5194333556837507,0.030065626195273688,0.5230221328174736,0.46019824169188694,0.5712581246597981,0.8428377789196618,0,204.7880999998597
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,20,2_phase_noise_0.8,2.319838988350478,1.2241080009486047,1.1392087192321503,0.06280966033401389,1.1375742467172125,1.0111053944694188,1.2511436683062682,1.0745247822310193,0,285.690099997737
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,20,3_thermal_source,2.387848477371563,1.3119394836596328,1.1991685253847053,0.059414250927937805,1.1984262219671316,1.0788068325342757,1.2999714378465321,1.0940409591210287,0,275.6574000013643
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,20,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.21159999960218556
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,20,5_pink_noise,0.658886048220131,0.2664479840651639,0.2569026880286296,0.01644758183272062,0.25591300932783695,0.228927431243873,0.29124511507779066,1.037155298411944,0,246.21269999988726
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,100,20,20,6_white_noise,2.352376938231725,1.0925699213502444,1.0197321639775856,0.06627107206775734,1.0161197620001727,0.9078508191313855,1.1593490289623054,1.0714283220101115,0,225.6162999983644
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,10,1_ideal_coherent,0.8715446568789308,0.3264961423712438,0.5199007772920327,0.031645762091052854,0.5180153289309269,0.465829754841067,0.5869718052641102,0.6279970268016125,0,217.95319999728235
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,10,2_phase_noise_0.8,2.2397184813517623,1.339512370284646,1.1737367856762295,0.06507687204543786,1.1649325376700599,1.0557140559354266,1.2956355957234917,1.1412374449122404,0,203.74319999973522
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,10,3_thermal_source,2.419358976784167,1.4244113848974789,1.2241020709578252,0.06233385274445333,1.2267097093614756,1.1079362958642351,1.3408785784766437,1.163637754311548,0,242.52009999690927
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,10,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.22430000171880238
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,10,5_pink_noise,0.931997331611049,0.3027521837581526,0.27040940143503234,0.018599324114368397,0.2720958899008413,0.23298901393181445,0.3070112914108826,1.1196067228117097,0,224.0094999979192
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,10,6_white_noise,2.1921711309818814,1.1063401641083828,1.0111395980679745,0.05657161163460381,1.00776881486082,0.9046485890110232,1.1242432777583338,1.0941517533506866,0,222.49370000281488
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,15,1_ideal_coherent,0.8715446568789308,0.3763793372359239,0.5138190846715688,0.028080973119494566,0.5170715345514189,0.45661478109829085,0.560484796987696,0.7325133465536886,0,236.97510000056354
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,15,2_phase_noise_0.8,2.2397184813517623,1.2875410043116369,1.1873791520093846,0.06136145930615141,1.1814269111745865,1.077626481918556,1.301300019875296,1.0843554075652666,0,231.93179999725544
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,15,3_thermal_source,2.419358976784167,1.40538439692035,1.2473950845903368,0.06900721824419702,1.2600965490582876,1.1083927230101844,1.3596907488517012,1.126655391128064,0,230.41050000028918
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,15,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.3195999997842591
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,101,20,15,5_pink_noise,0.931997331611049,0.29297452167340754,0.27048886135843103,0.01666259618462914,0.27098189420343927,0.23774983468435676,0.3031976913139847,1.083129708935335,0,219.4786000000022
